file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.html,23,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,27
index.html,24,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,32
index.html,25,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,9
index.html,26,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.html,27,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,6
index.html,28,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,6
global.js,1,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,26
global.js,2,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,3,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,77
global.js,4,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,48
global.js,5,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,6,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,59
global.js,7,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,35
global.js,8,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,9,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,10,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,42
global.js,11,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,53
global.js,12,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,13,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,14,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,26
global.js,15,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,0
global.js,16,js,d33a167e,Arcilios,2025-04-18,17:22:06,-07:00,2025-04-18T17:22:06-07:00,0,31
